dataset,task_group,example_id,run_dir,synthetic_from_real,is_real_grouped,ambiguity_level,ambiguity_regime,posterior_strategy_requested,is_calibrated,method,baseline_method,method_family,is_conformal,sequence_length,symbol_topk_accuracy,grouped_topk_success,grouped_exact_success,grouped_token_accuracy,downstream_kind,downstream_exact_success,downstream_partial_success,symbol_topk_delta,grouped_topk_delta,grouped_exact_delta,grouped_token_delta,downstream_exact_delta,downstream_partial_delta,symbol_rescue,grouped_topk_rescue,grouped_exact_rescue,downstream_exact_rescue,downstream_partial_rescue,prediction_set_coverage,prediction_set_avg_size,prediction_set_singleton_rate,prediction_set_rescue_rate,mean_confusion_entropy,mean_confusion_set_size,real_downstream_bank_coverage,dataset_support_upper_bound,full_support_indicator
omniglot,synthetic_markov,test_seq_0015,outputs/runs/20260408T214508Z_sequence_omniglot_markov_sequence_branch_cluster_distance,1.0,0.0,0.0,low,cluster_distance,0.0,uncertainty_beam,fixed_greedy,raw_uncertainty,0.0,12.0,1.0,1.0,1.0,1.0,none,,,0.08333333333333337,1.0,1.0,0.08333333333333337,,,1.0,1.0,1.0,,,1.0,4.333333333333333,0.08333333333333333,0.08333333333333333,0.964782183413968,4.333333333333333,,,
omniglot,synthetic_markov,test_seq_0015,outputs/runs/20260408T214508Z_sequence_omniglot_markov_sequence_branch_cluster_distance,1.0,0.0,0.0,low,cluster_distance,0.0,conformal_beam,uncertainty_beam,conformal,1.0,12.0,1.0,1.0,1.0,1.0,none,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,1.0,2.25,0.3333333333333333,0.08333333333333333,0.6068206317783916,2.25,,,
omniglot,synthetic_markov,test_seq_0016,outputs/runs/20260408T214508Z_sequence_omniglot_markov_sequence_branch_cluster_distance,1.0,0.0,0.0,low,cluster_distance,0.0,uncertainty_beam,fixed_greedy,raw_uncertainty,0.0,12.0,1.0,0.0,0.0,0.4166666666666667,none,,,0.5,0.0,0.0,-0.08333333333333331,,,1.0,0.0,0.0,,,1.0,4.666666666666667,0.08333333333333333,0.5,1.1339430735783629,4.666666666666667,,,
omniglot,synthetic_markov,test_seq_0016,outputs/runs/20260408T214508Z_sequence_omniglot_markov_sequence_branch_cluster_distance,1.0,0.0,0.0,low,cluster_distance,0.0,conformal_beam,uncertainty_beam,conformal,1.0,12.0,0.8333333333333334,0.0,0.0,0.3333333333333333,none,,,-0.16666666666666663,0.0,0.0,-0.08333333333333337,,,0.0,0.0,0.0,,,0.8333333333333334,2.75,0.25,0.3333333333333333,0.7869618857149797,2.75,,,
omniglot,synthetic_markov,test_seq_0017,outputs/runs/20260408T214508Z_sequence_omniglot_markov_sequence_branch_cluster_distance,1.0,0.0,0.0,low,cluster_distance,0.0,uncertainty_beam,fixed_greedy,raw_uncertainty,0.0,12.0,1.0,0.0,0.0,0.6666666666666666,none,,,0.08333333333333337,0.0,0.0,-0.25,,,1.0,0.0,0.0,,,1.0,4.416666666666667,0.08333333333333333,0.08333333333333333,0.9600871996505104,4.416666666666667,,,
omniglot,synthetic_markov,test_seq_0017,outputs/runs/20260408T214508Z_sequence_omniglot_markov_sequence_branch_cluster_distance,1.0,0.0,0.0,low,cluster_distance,0.0,conformal_beam,uncertainty_beam,conformal,1.0,12.0,1.0,0.0,0.0,0.75,none,,,0.0,0.0,0.0,0.08333333333333337,,,0.0,0.0,0.0,,,1.0,2.1666666666666665,0.25,0.08333333333333333,0.5655293132897432,2.1666666666666665,,,
omniglot,synthetic_markov,test_seq_0018,outputs/runs/20260408T214508Z_sequence_omniglot_markov_sequence_branch_cluster_distance,1.0,0.0,0.0,low,cluster_distance,0.0,uncertainty_beam,fixed_greedy,raw_uncertainty,0.0,12.0,1.0,0.0,0.0,0.9166666666666666,none,,,0.08333333333333337,0.0,0.0,0.0,,,1.0,0.0,0.0,,,1.0,4.5,0.08333333333333333,0.08333333333333333,1.072825487753215,4.5,,,
omniglot,synthetic_markov,test_seq_0018,outputs/runs/20260408T214508Z_sequence_omniglot_markov_sequence_branch_cluster_distance,1.0,0.0,0.0,low,cluster_distance,0.0,conformal_beam,uncertainty_beam,conformal,1.0,12.0,1.0,0.0,0.0,0.9166666666666666,none,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,1.0,2.5833333333333335,0.25,0.08333333333333333,0.7206954797852853,2.5833333333333335,,,
omniglot,synthetic_markov,test_seq_0019,outputs/runs/20260408T214508Z_sequence_omniglot_markov_sequence_branch_cluster_distance,1.0,0.0,0.0,low,cluster_distance,0.0,uncertainty_beam,fixed_greedy,raw_uncertainty,0.0,12.0,1.0,0.0,0.0,0.75,none,,,0.33333333333333337,0.0,0.0,0.08333333333333337,,,1.0,0.0,0.0,,,1.0,5.083333333333333,0.0,0.3333333333333333,1.1230093183519931,5.083333333333333,,,
omniglot,synthetic_markov,test_seq_0019,outputs/runs/20260408T214508Z_sequence_omniglot_markov_sequence_branch_cluster_distance,1.0,0.0,0.0,low,cluster_distance,0.0,conformal_beam,uncertainty_beam,conformal,1.0,12.0,1.0,0.0,0.0,0.75,none,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,1.0,2.3333333333333335,0.16666666666666666,0.3333333333333333,0.6425771645065756,2.3333333333333335,,,
