dataset_label,posterior_strategy,operating_profile,review_budget_k,shortlist_utility,prediction_set_avg_size,review_efficiency,shortlist_recall_at_2,shortlist_recall_at_3,shortlist_recall_at_5,fragile_case_rate,fragile_shortlist_utility,fragile_recall_at_2,fragile_prediction_set_avg_size,fragile_review_efficiency,defer_rate,budgeted_recall,budget_compliance_rate,review_load_proxy,effort_adjusted_utility,rescue_per_review_item,best_fixed_effort_adjusted_utility,grouped_topk_delta,downstream_exact_delta,shortlist_gap_to_best_fixed,review_efficiency_gap_to_best_fixed,effort_adjusted_gap_to_best_fixed,best_fixed_shortlist_method,best_fixed_review_efficiency_method,best_fixed_effort_method
historical_newspapers_real_grouped,cluster_distance,shortlist_first,5,0.7361111111111112,1.212037037037037,0.6073338426279603,0.7361111111111112,0.7361111111111112,0.7361111111111112,0.0,,,,,0.0,0.7361111111111112,1.0,1.212037037037037,0.6849206349206349,0.6849206349206349,0.7226190476190476,0.09722222222222221,,-0.02777777777777768,-0.0800229580385674,-0.037698412698412676,conformal_beam,conformal_beam,conformal_beam
historical_newspapers_real_grouped,calibrated_classifier,shortlist_first,5,0.836111111111111,1.1148148148148147,0.75,0.8333333333333333,0.8333333333333333,0.8472222222222222,0.0,,,,,0.0,0.8472222222222222,1.0,1.114814814814815,0.7925705467372135,0.7925705467372135,0.8194444444444444,0.02777777777777779,,-0.01666666666666672,-0.06944444444444442,-0.02687389770723092,uncertainty_trigram_beam,fixed_greedy,fixed_greedy
historical_newspapers_real_downstream,cluster_distance,rescue_first,2,0.611111111111111,2.9446759259259254,0.20753085449257136,0.5694444444444444,0.625,0.6944444444444444,0.09722222222222222,0.8857142857142858,0.8571428571428571,3.228571428571428,0.27433628318584075,0.09722222222222222,0.5694444444444444,0.1111111111111111,2.0,0.3194444444444444,0.37962962962962965,0.7226190476190476,0.05555555555555547,-0.125,-0.1527777777777778,-0.47982594617395635,-0.4031746031746032,conformal_beam,conformal_beam,conformal_beam
historical_newspapers_real_downstream,calibrated_classifier,rescue_first,2,0.8472222222222222,1.1324074074074075,0.7481602616516762,0.8472222222222222,0.8472222222222222,0.8472222222222222,0.0,,,,,0.0,0.8472222222222222,1.0,1.1324074074074073,0.7783730158730159,0.7783730158730159,0.8194444444444444,0.02777777777777779,-0.01388888888888884,-0.005555555555555536,-0.07128418279276827,-0.04107142857142854,uncertainty_trigram_beam,fixed_greedy,fixed_greedy
historical_newspapers_real_downstream,cluster_distance,rescue_first,3,0.611111111111111,2.9446759259259254,0.20753085449257136,0.5694444444444444,0.625,0.6944444444444444,0.09722222222222222,0.8857142857142858,0.8571428571428571,3.228571428571428,0.27433628318584075,0.09722222222222222,0.625,0.4861111111111111,2.8078703703703702,0.27648709315375986,0.29889870931537604,0.7226190476190476,0.05555555555555547,-0.125,-0.1527777777777778,-0.47982594617395635,-0.44613195446528775,conformal_beam,conformal_beam,conformal_beam
historical_newspapers_real_downstream,calibrated_classifier,rescue_first,3,0.8472222222222222,1.1324074074074075,0.7481602616516762,0.8472222222222222,0.8472222222222222,0.8472222222222222,0.0,,,,,0.0,0.8472222222222222,1.0,1.1324074074074073,0.7783730158730159,0.7783730158730159,0.8194444444444444,0.02777777777777779,-0.01388888888888884,-0.005555555555555536,-0.07128418279276827,-0.04107142857142854,uncertainty_trigram_beam,fixed_greedy,fixed_greedy
historical_newspapers_real_downstream,cluster_distance,rescue_first,5,0.6222222222222222,2.7724537037037034,0.22443015780245473,0.5833333333333334,0.6388888888888888,0.6944444444444444,0.09722222222222222,1.0,1.0,1.457142857142857,0.6862745098039216,0.0,0.6944444444444444,1.0,2.772453703703704,0.34489145114145114,0.34489145114145114,0.7226190476190476,0.05555555555555547,-0.125,-0.1416666666666666,-0.462926642864073,-0.37772759647759646,conformal_beam,conformal_beam,conformal_beam
historical_newspapers_real_downstream,calibrated_classifier,rescue_first,5,0.8472222222222222,1.1324074074074075,0.7481602616516762,0.8472222222222222,0.8472222222222222,0.8472222222222222,0.0,,,,,0.0,0.8472222222222222,1.0,1.1324074074074073,0.7783730158730159,0.7783730158730159,0.8194444444444444,0.02777777777777779,-0.01388888888888884,-0.005555555555555536,-0.07128418279276827,-0.04107142857142854,uncertainty_trigram_beam,fixed_greedy,fixed_greedy
historical_newspapers_real_downstream,cluster_distance,shortlist_first,2,0.711111111111111,1.4412037037037038,0.4934147124959845,0.7083333333333333,0.7083333333333333,0.7222222222222222,0.09722222222222222,0.8857142857142858,0.8571428571428571,3.228571428571428,0.27433628318584075,0.09722222222222222,0.7083333333333334,0.8472222222222222,1.353009259259259,0.6115079365079364,0.616137566137566,0.7226190476190476,0.08333333333333326,0.05555555555555547,-0.05277777777777781,-0.1939420881705432,-0.11111111111111116,conformal_beam,conformal_beam,conformal_beam
historical_newspapers_real_downstream,calibrated_classifier,shortlist_first,2,0.836111111111111,1.1148148148148147,0.75,0.8333333333333333,0.8333333333333333,0.8472222222222222,0.0,,,,,0.0,0.8333333333333334,0.9722222222222222,1.1078703703703705,0.7871693121693121,0.7941137566137565,0.8194444444444444,0.02777777777777779,-0.01388888888888895,-0.01666666666666672,-0.06944444444444442,-0.032275132275132346,uncertainty_trigram_beam,fixed_greedy,fixed_greedy
