dataset_label,posterior_strategy,controller_label,shortlist_recall_at_2,shortlist_recall_at_3,shortlist_recall_at_5,shortlist_utility,grouped_topk_delta,downstream_exact_delta,prediction_set_avg_size
scadsai_real_grouped,cluster_distance,shortlist_first@k=5,0.3055555555555556,0.3055555555555556,0.37499999999999994,0.3194444444444445,0.24999999999999994,,1.7708333333333335
scadsai_real_grouped,calibrated_classifier,shortlist_first@k=5,0.3472222222222222,0.4305555555555555,0.4861111111111111,0.4,0.20833333333333331,,2.6041666666666665
scadsai_real_grouped,cluster_distance,profile_selector@k=2,0.3472222222222222,0.3611111111111111,0.41666666666666663,0.36527777777777776,0.29166666666666663,,3.2187500000000004
scadsai_real_grouped,calibrated_classifier,profile_selector@k=2,0.3472222222222222,0.4305555555555555,0.5277777777777778,0.4083333333333333,0.25,,2.7847222222222223
scadsai_real_grouped,cluster_distance,profile_selector@k=3,0.3472222222222222,0.3611111111111111,0.41666666666666663,0.36527777777777776,0.29166666666666663,,3.0833333333333335
scadsai_real_grouped,calibrated_classifier,profile_selector@k=3,0.3472222222222222,0.4305555555555555,0.5277777777777778,0.4083333333333333,0.25,,2.772222222222222
scadsai_real_grouped,cluster_distance,profile_selector@k=5,0.3333333333333333,0.3333333333333333,0.38888888888888884,0.34444444444444444,0.26388888888888884,,2.4756944444444446
scadsai_real_grouped,calibrated_classifier,profile_selector@k=5,0.3472222222222222,0.4305555555555555,0.5138888888888888,0.40555555555555556,0.23611111111111105,,2.7444444444444445
scadsai_real_downstream,cluster_distance,rule,0.2916666666666667,0.3333333333333333,0.4583333333333333,0.3375,0.3333333333333333,0.1111111111111111,3.9340277777777777
scadsai_real_downstream,calibrated_classifier,rule,0.3472222222222222,0.41666666666666663,0.5277777777777778,0.4041666666666667,0.25,-0.04166666666666671,2.9756944444444446
scadsai_real_downstream,cluster_distance,learned,0.3472222222222222,0.3611111111111111,0.41666666666666663,0.36527777777777776,0.29166666666666663,0.1111111111111111,2.8854166666666665
scadsai_real_downstream,calibrated_classifier,learned,0.3472222222222222,0.4305555555555555,0.4861111111111111,0.4,0.20833333333333331,-0.04166666666666671,2.600694444444444
scadsai_real_downstream,cluster_distance,constrained,0.2916666666666667,0.3333333333333333,0.4583333333333333,0.3375,0.3333333333333333,0.1111111111111111,3.9340277777777777
scadsai_real_downstream,calibrated_classifier,constrained,0.3472222222222222,0.4305555555555555,0.5277777777777778,0.4083333333333333,0.25,-0.04166666666666671,2.791666666666667
scadsai_real_downstream,cluster_distance,profile_selector,0.3472222222222222,0.3611111111111111,0.41666666666666663,0.36527777777777776,0.29166666666666663,0.1111111111111111,3.0833333333333335
scadsai_real_downstream,calibrated_classifier,profile_selector,0.3472222222222222,0.4305555555555555,0.5277777777777778,0.4083333333333333,0.25,-0.04166666666666671,2.772222222222222
scadsai_real_downstream,cluster_distance,rescue_first@k=2,0.2916666666666667,0.3333333333333333,0.4583333333333333,0.3375,0.3333333333333333,0.1111111111111111,3.9340277777777777
scadsai_real_downstream,calibrated_classifier,rescue_first@k=2,0.3472222222222222,0.4305555555555555,0.5277777777777778,0.4083333333333333,0.25,-0.04166666666666671,2.791666666666667
scadsai_real_downstream,cluster_distance,rescue_first@k=3,0.2916666666666667,0.3333333333333333,0.4583333333333333,0.3375,0.3333333333333333,0.1111111111111111,3.9340277777777777
scadsai_real_downstream,calibrated_classifier,rescue_first@k=3,0.3472222222222222,0.4305555555555555,0.5277777777777778,0.4083333333333333,0.25,-0.04166666666666671,2.791666666666667
scadsai_real_downstream,cluster_distance,rescue_first@k=5,0.2916666666666667,0.3333333333333333,0.4583333333333333,0.3375,0.3333333333333333,0.1111111111111111,3.9340277777777777
scadsai_real_downstream,calibrated_classifier,rescue_first@k=5,0.3472222222222222,0.4305555555555555,0.5277777777777778,0.4083333333333333,0.25,-0.04166666666666671,2.7847222222222223
scadsai_real_downstream,cluster_distance,shortlist_first@k=2,0.3472222222222222,0.3611111111111111,0.41666666666666663,0.36527777777777776,0.29166666666666663,0.1111111111111111,2.8854166666666665
scadsai_real_downstream,calibrated_classifier,shortlist_first@k=2,0.3472222222222222,0.4305555555555555,0.4861111111111111,0.4,0.20833333333333331,-0.04166666666666671,2.600694444444444
scadsai_real_downstream,cluster_distance,shortlist_first@k=3,0.3472222222222222,0.3611111111111111,0.41666666666666663,0.36527777777777776,0.29166666666666663,0.1111111111111111,2.8854166666666665
scadsai_real_downstream,calibrated_classifier,shortlist_first@k=3,0.3472222222222222,0.4305555555555555,0.4861111111111111,0.4,0.20833333333333331,-0.04166666666666671,2.600694444444444
scadsai_real_downstream,cluster_distance,shortlist_first@k=5,0.3194444444444444,0.3194444444444444,0.40277777777777773,0.33611111111111114,0.27777777777777773,0.06944444444444442,1.8229166666666667
scadsai_real_downstream,calibrated_classifier,shortlist_first@k=5,0.3472222222222222,0.4305555555555555,0.4861111111111111,0.4,0.20833333333333331,-0.04166666666666671,2.6041666666666665
scadsai_real_downstream,cluster_distance,profile_selector@k=2,0.3472222222222222,0.3611111111111111,0.41666666666666663,0.36527777777777776,0.29166666666666663,0.1111111111111111,3.2187500000000004
scadsai_real_downstream,calibrated_classifier,profile_selector@k=2,0.3472222222222222,0.4305555555555555,0.5277777777777778,0.4083333333333333,0.25,-0.04166666666666671,2.7847222222222223
scadsai_real_downstream,cluster_distance,profile_selector@k=3,0.3472222222222222,0.3611111111111111,0.41666666666666663,0.36527777777777776,0.29166666666666663,0.1111111111111111,3.0833333333333335
scadsai_real_downstream,calibrated_classifier,profile_selector@k=3,0.3472222222222222,0.4305555555555555,0.5277777777777778,0.4083333333333333,0.25,-0.04166666666666671,2.772222222222222
scadsai_real_downstream,cluster_distance,profile_selector@k=5,0.3472222222222222,0.3472222222222222,0.40277777777777773,0.35833333333333334,0.27777777777777773,0.1111111111111111,2.4131944444444446
scadsai_real_downstream,calibrated_classifier,profile_selector@k=5,0.3472222222222222,0.4305555555555555,0.5138888888888888,0.40555555555555556,0.23611111111111105,-0.04166666666666671,2.7444444444444445
