dataset_label,posterior_strategy,review_budget_k,operating_profile,shortlist_regret_to_best_profile,grouped_regret_to_best_profile,downstream_regret_to_best_profile,budgeted_recall_regret_to_best_profile,effort_adjusted_regret_to_best_profile,shortlist_gap_to_best_fixed,grouped_gap_to_best_fixed,downstream_gap_to_best_fixed,effort_adjusted_gap_to_best_fixed
scadsai_real_downstream,cluster_distance,5,rescue_first,0.0,0.0,0.0,0.0,0.11956569664902998,-0.005555555555555536,-0.02777777777777779,0.0,-0.13191137566137562
scadsai_real_downstream,cluster_distance,5,shortlist_first,0.001388888888888884,0.05555555555555558,0.041666666666666685,0.055555555555555525,0.0,-0.00694444444444442,-0.08333333333333337,-0.041666666666666685,-0.01234567901234565
scadsai_real_grouped,calibrated_classifier,2,rescue_first,0.0,0.0,,0.0,0.004298941798941774,0.002777777777777768,0.0,,-0.09239417989417989
scadsai_real_grouped,calibrated_classifier,2,shortlist_first,0.008333333333333304,0.041666666666666685,,0.0,0.0,-0.005555555555555536,-0.041666666666666685,,-0.08809523809523812
scadsai_real_grouped,calibrated_classifier,3,rescue_first,0.0,0.0,,0.0,0.010537918871252272,0.002777777777777768,0.0,,-0.08762826679493352
scadsai_real_grouped,calibrated_classifier,3,shortlist_first,0.008333333333333304,0.041666666666666685,,0.0,0.0,-0.005555555555555536,-0.041666666666666685,,-0.07709034792368125
scadsai_real_grouped,calibrated_classifier,5,rescue_first,0.0,0.0,,0.0,0.0012738804405471038,0.002777777777777768,0.0,,-0.05588763088763091
scadsai_real_grouped,calibrated_classifier,5,shortlist_first,0.008333333333333304,0.041666666666666685,,0.041666666666666685,0.0,-0.005555555555555536,-0.041666666666666685,,-0.0546137504470838
scadsai_real_grouped,cluster_distance,2,rescue_first,0.027777777777777735,0.0,,0.055555555555555525,0.06183862433862433,-0.005555555555555536,-0.02777777777777779,,-0.07757936507936508
scadsai_real_grouped,cluster_distance,2,shortlist_first,0.0,0.041666666666666685,,0.0,0.0,0.0222222222222222,-0.06944444444444448,,-0.01574074074074075
scadsai_real_grouped,cluster_distance,3,rescue_first,0.027777777777777735,0.0,,0.02777777777777779,0.07341269841269842,-0.005555555555555536,-0.02777777777777779,,-0.09602072310405642
scadsai_real_grouped,cluster_distance,3,shortlist_first,0.0,0.041666666666666685,,0.0,0.0,0.0222222222222222,-0.06944444444444448,,-0.022608024691358003
scadsai_real_grouped,cluster_distance,5,rescue_first,0.0,0.0,,0.0,0.11262125220458556,-0.005555555555555536,-0.02777777777777779,,-0.13191137566137562
scadsai_real_grouped,cluster_distance,5,shortlist_first,0.018055555555555547,0.08333333333333337,,0.08333333333333331,0.0,-0.023611111111111083,-0.11111111111111116,,-0.01929012345679007
