dataset,task_name,posterior_strategy_requested,ambiguity_level,method,sequence_exact_match,sequence_token_accuracy,sequence_topk_recovery,sequence_cer,symbol_topk_accuracy,prediction_set_coverage,prediction_set_avg_size,prediction_set_singleton_rate,prediction_set_rescue_rate,family_identification_accuracy,family_identification_topk_recovery,source_dataset_name,selected_symbol_count,sequence_length,synthetic_from_real
scadsai_real_grouped,real_grouped_manifest_sequences,cluster_distance,0.15,uncertainty_trigram_beam,0.05555555555555555,0.5638888888888889,0.2777777777777778,0.4222222222222222,0.958904109589041,0.9861111111111112,3.9444444444444446,0.0,0.35555555555555557,,,scadsai_grouped_words,5,"{'max': 6, 'mean': 4.154929577464789, 'min': 4}",False
scadsai_real_grouped,real_grouped_manifest_sequences,cluster_distance,0.3,conformal_beam,0.2222222222222222,0.7138888888888889,0.3888888888888889,0.28611111111111115,0.8493150684931506,0.8500000000000001,1.7000000000000002,0.35555555555555557,0.275,,,scadsai_grouped_words,5,"{'max': 6, 'mean': 4.154929577464789, 'min': 4}",False
scadsai_real_grouped,real_grouped_manifest_sequences,cluster_distance,0.3,conformal_crf_viterbi,0.2222222222222222,0.7138888888888889,0.2222222222222222,0.28611111111111115,0.8493150684931506,0.8500000000000001,1.7000000000000002,0.35555555555555557,0.275,,,scadsai_grouped_words,5,"{'max': 6, 'mean': 4.154929577464789, 'min': 4}",False
scadsai_real_grouped,real_grouped_manifest_sequences,cluster_distance,0.3,conformal_trigram_beam,0.16666666666666666,0.6611111111111111,0.2222222222222222,0.33888888888888885,0.8493150684931506,0.8500000000000001,1.7000000000000002,0.35555555555555557,0.275,,,scadsai_grouped_words,5,"{'max': 6, 'mean': 4.154929577464789, 'min': 4}",False
scadsai_real_grouped,real_grouped_manifest_sequences,cluster_distance,0.3,fixed_greedy,0.1111111111111111,0.575,0.1111111111111111,0.42500000000000004,0.5753424657534246,0.575,1.0,1.0,0.0,,,scadsai_grouped_words,5,"{'max': 6, 'mean': 4.154929577464789, 'min': 4}",False
scadsai_real_grouped,real_grouped_manifest_sequences,cluster_distance,0.3,uncertainty_beam,0.2222222222222222,0.6305555555555555,0.5,0.36944444444444446,0.9452054794520548,0.9722222222222222,3.9305555555555554,0.0,0.39722222222222225,,,scadsai_grouped_words,5,"{'max': 6, 'mean': 4.154929577464789, 'min': 4}",False
scadsai_real_grouped,real_grouped_manifest_sequences,cluster_distance,0.3,uncertainty_crf_viterbi,0.2222222222222222,0.6305555555555555,0.2222222222222222,0.36944444444444446,0.9452054794520548,0.9722222222222222,3.9305555555555554,0.0,0.39722222222222225,,,scadsai_grouped_words,5,"{'max': 6, 'mean': 4.154929577464789, 'min': 4}",False
scadsai_real_grouped,real_grouped_manifest_sequences,cluster_distance,0.3,uncertainty_trigram_beam,0.05555555555555555,0.5083333333333333,0.16666666666666666,0.47777777777777775,0.9452054794520548,0.9722222222222222,3.9305555555555554,0.0,0.39722222222222225,,,scadsai_grouped_words,5,"{'max': 6, 'mean': 4.154929577464789, 'min': 4}",False
scadsai_real_grouped,real_grouped_manifest_sequences,cluster_distance,0.45,conformal_beam,0.1111111111111111,0.6055555555555556,0.3888888888888889,0.39444444444444443,0.8493150684931506,0.8500000000000001,1.9166666666666667,0.24722222222222223,0.24722222222222223,,,scadsai_grouped_words,5,"{'max': 6, 'mean': 4.154929577464789, 'min': 4}",False
scadsai_real_grouped,real_grouped_manifest_sequences,cluster_distance,0.45,conformal_crf_viterbi,0.1111111111111111,0.6055555555555556,0.1111111111111111,0.39444444444444443,0.8493150684931506,0.8500000000000001,1.9166666666666667,0.24722222222222223,0.24722222222222223,,,scadsai_grouped_words,5,"{'max': 6, 'mean': 4.154929577464789, 'min': 4}",False
scadsai_real_grouped,real_grouped_manifest_sequences,cluster_distance,0.45,conformal_trigram_beam,0.05555555555555555,0.6472222222222223,0.3888888888888889,0.35277777777777775,0.8493150684931506,0.8500000000000001,1.9166666666666667,0.24722222222222223,0.24722222222222223,,,scadsai_grouped_words,5,"{'max': 6, 'mean': 4.154929577464789, 'min': 4}",False
scadsai_real_grouped,real_grouped_manifest_sequences,cluster_distance,0.45,fixed_greedy,0.05555555555555555,0.6027777777777777,0.05555555555555555,0.39722222222222225,0.6027397260273972,0.6027777777777777,1.0,1.0,0.0,,,scadsai_grouped_words,5,"{'max': 6, 'mean': 4.154929577464789, 'min': 4}",False
scadsai_real_grouped,real_grouped_manifest_sequences,cluster_distance,0.45,uncertainty_beam,0.16666666666666666,0.6166666666666667,0.4444444444444444,0.38333333333333336,0.9041095890410958,0.9722222222222222,3.9722222222222223,0.0,0.36944444444444446,,,scadsai_grouped_words,5,"{'max': 6, 'mean': 4.154929577464789, 'min': 4}",False
scadsai_real_grouped,real_grouped_manifest_sequences,cluster_distance,0.45,uncertainty_crf_viterbi,0.16666666666666666,0.6166666666666667,0.16666666666666666,0.38333333333333336,0.9041095890410958,0.9722222222222222,3.9722222222222223,0.0,0.36944444444444446,,,scadsai_grouped_words,5,"{'max': 6, 'mean': 4.154929577464789, 'min': 4}",False
scadsai_real_grouped,real_grouped_manifest_sequences,cluster_distance,0.45,uncertainty_trigram_beam,0.0,0.5638888888888889,0.16666666666666666,0.4361111111111111,0.9041095890410958,0.9722222222222222,3.9722222222222223,0.0,0.36944444444444446,,,scadsai_grouped_words,5,"{'max': 6, 'mean': 4.154929577464789, 'min': 4}",False
